OBJECTID,X,Y
508,276230.9844,3326993.735
509,276310.9844,3326993.735
510,276390.9844,3326993.735
511,276470.9844,3326993.735
512,276550.9844,3326993.735
513,276630.9844,3326993.735
514,276710.9844,3326993.735
515,276790.9844,3326993.735
516,276870.9844,3326993.735
517,276950.9844,3326993.735
518,277030.9844,3326993.735
519,277110.9844,3326993.735
520,277190.9844,3326993.735
521,277270.9844,3326993.735
522,277350.9844,3326993.735
523,277430.9844,3326993.735
524,277510.9844,3326993.735
525,277590.9844,3326993.735
526,277670.9844,3326993.735
527,277750.9844,3326993.735
528,277830.9844,3326993.735
529,277910.9844,3326993.735
530,277990.9844,3326993.735
531,275670.9844,3327073.735
532,275750.9844,3327073.735
533,275830.9844,3327073.735
534,275910.9844,3327073.735
535,275990.9844,3327073.735
536,276070.9844,3327073.735
537,276150.9844,3327073.735
538,276230.9844,3327073.735
539,276310.9844,3327073.735
540,276390.9844,3327073.735
541,276470.9844,3327073.735
542,276550.9844,3327073.735
543,276630.9844,3327073.735
544,276710.9844,3327073.735
545,276790.9844,3327073.735
546,276870.9844,3327073.735
547,276950.9844,3327073.735
548,277030.9844,3327073.735
549,277110.9844,3327073.735
550,277190.9844,3327073.735
551,277270.9844,3327073.735
552,277350.9844,3327073.735
553,277430.9844,3327073.735
554,277510.9844,3327073.735
555,277590.9844,3327073.735
556,277670.9844,3327073.735
557,277750.9844,3327073.735
558,277830.9844,3327073.735
559,277910.9844,3327073.735
560,275670.9844,3327153.735
561,275750.9844,3327153.735
562,275830.9844,3327153.735
563,275910.9844,3327153.735
564,275990.9844,3327153.735
565,276070.9844,3327153.735
566,276150.9844,3327153.735
567,276230.9844,3327153.735
568,276310.9844,3327153.735
569,276390.9844,3327153.735
570,276470.9844,3327153.735
571,276550.9844,3327153.735
572,276630.9844,3327153.735
573,276710.9844,3327153.735
574,276790.9844,3327153.735
575,276870.9844,3327153.735
576,276950.9844,3327153.735
577,277030.9844,3327153.735
578,277110.9844,3327153.735
579,277190.9844,3327153.735
580,277270.9844,3327153.735
581,277350.9844,3327153.735
582,277430.9844,3327153.735
583,277510.9844,3327153.735
584,277590.9844,3327153.735
585,277670.9844,3327153.735
586,277750.9844,3327153.735
587,275590.9844,3327233.735
588,275670.9844,3327233.735
589,275750.9844,3327233.735
590,275830.9844,3327233.735
591,275910.9844,3327233.735
592,275990.9844,3327233.735
593,276070.9844,3327233.735
594,276150.9844,3327233.735
595,276230.9844,3327233.735
596,276310.9844,3327233.735
597,276390.9844,3327233.735
598,276470.9844,3327233.735
599,276550.9844,3327233.735
600,276630.9844,3327233.735
601,276710.9844,3327233.735
602,276790.9844,3327233.735
603,276870.9844,3327233.735
