OBJECTID,X,Y
34465,222390.9844,3310753.735
34466,222470.9844,3310753.735
34467,222550.9844,3310753.735
34468,222630.9844,3310753.735
34469,222710.9844,3310753.735
34470,222790.9844,3310753.735
34471,222870.9844,3310753.735
34472,222950.9844,3310753.735
34473,223030.9844,3310753.735
34474,223110.9844,3310753.735
34475,223190.9844,3310753.735
34476,219670.9844,3310833.735
34477,219750.9844,3310833.735
34478,219830.9844,3310833.735
34479,219910.9844,3310833.735
34480,219990.9844,3310833.735
34481,220070.9844,3310833.735
34482,220150.9844,3310833.735
34483,220230.9844,3310833.735
34484,220310.9844,3310833.735
34485,220390.9844,3310833.735
34486,220470.9844,3310833.735
34487,220550.9844,3310833.735
34488,220630.9844,3310833.735
34489,220710.9844,3310833.735
34490,220790.9844,3310833.735
34491,220870.9844,3310833.735
34492,220950.9844,3310833.735
34493,221030.9844,3310833.735
34494,221110.9844,3310833.735
34495,221190.9844,3310833.735
34496,221270.9844,3310833.735
34497,221350.9844,3310833.735
34498,221430.9844,3310833.735
34499,221510.9844,3310833.735
34500,221590.9844,3310833.735
34501,221670.9844,3310833.735
34502,221750.9844,3310833.735
34503,221830.9844,3310833.735
34504,221910.9844,3310833.735
34505,221990.9844,3310833.735
34506,222070.9844,3310833.735
34507,222150.9844,3310833.735
34508,222230.9844,3310833.735
34509,222310.9844,3310833.735
34510,222390.9844,3310833.735
34511,222470.9844,3310833.735
34512,222550.9844,3310833.735
34513,222630.9844,3310833.735
34514,222710.9844,3310833.735
34515,222790.9844,3310833.735
34516,222870.9844,3310833.735
34517,222950.9844,3310833.735
34518,223030.9844,3310833.735
34519,223110.9844,3310833.735
34520,223190.9844,3310833.735
34521,223270.9844,3310833.735
34522,219670.9844,3310913.735
34523,219750.9844,3310913.735
34524,219830.9844,3310913.735
34525,219910.9844,3310913.735
34526,219990.9844,3310913.735
34527,220070.9844,3310913.735
34528,220150.9844,3310913.735
34529,220230.9844,3310913.735
34530,220310.9844,3310913.735
34531,220390.9844,3310913.735
34532,220470.9844,3310913.735
34533,220550.9844,3310913.735
34534,220630.9844,3310913.735
34535,220710.9844,3310913.735
34536,220790.9844,3310913.735
34537,220870.9844,3310913.735
34538,220950.9844,3310913.735
34539,221030.9844,3310913.735
34540,221110.9844,3310913.735
34541,221190.9844,3310913.735
34542,221270.9844,3310913.735
34543,221350.9844,3310913.735
34544,221430.9844,3310913.735
34545,221510.9844,3310913.735
34546,221590.9844,3310913.735
34547,221670.9844,3310913.735
34548,221750.9844,3310913.735
34549,221830.9844,3310913.735
34550,221910.9844,3310913.735
34551,221990.9844,3310913.735
34552,222070.9844,3310913.735
34553,222150.9844,3310913.735
34554,222230.9844,3310913.735
34555,222310.9844,3310913.735
34556,222390.9844,3310913.735
34557,222470.9844,3310913.735
34558,222550.9844,3310913.735
34559,222630.9844,3310913.735
34560,222710.9844,3310913.735
34561,222790.9844,3310913.735
34562,222870.9844,3310913.735
34563,222950.9844,3310913.735
34564,223030.9844,3310913.735
34565,223110.9844,3310913.735
34566,223190.9844,3310913.735
34567,223270.9844,3310913.735
34568,223350.9844,3310913.735
34569,219670.9844,3310993.735
34570,219750.9844,3310993.735
34571,219830.9844,3310993.735
34572,219910.9844,3310993.735
34573,219990.9844,3310993.735
34574,220070.9844,3310993.735
34575,220150.9844,3310993.735
34576,220230.9844,3310993.735
34577,220310.9844,3310993.735
34578,220390.9844,3310993.735
34579,220470.9844,3310993.735
34580,220550.9844,3310993.735
34581,220630.9844,3310993.735
34582,220710.9844,3310993.735
34583,220790.9844,3310993.735
34584,220870.9844,3310993.735
34585,220950.9844,3310993.735
34586,221030.9844,3310993.735
34587,221110.9844,3310993.735
34588,221190.9844,3310993.735
34589,221270.9844,3310993.735
34590,221350.9844,3310993.735
34591,221430.9844,3310993.735
34592,221510.9844,3310993.735
34593,221590.9844,3310993.735
34594,221670.9844,3310993.735
34595,221750.9844,3310993.735
34596,221830.9844,3310993.735
34597,221910.9844,3310993.735
34598,221990.9844,3310993.735
34599,222070.9844,3310993.735
34600,222150.9844,3310993.735
34601,222230.9844,3310993.735
34602,222310.9844,3310993.735
34603,222390.9844,3310993.735
34604,222470.9844,3310993.735
34605,222550.9844,3310993.735
34606,222630.9844,3310993.735
34607,222710.9844,3310993.735
34608,222790.9844,3310993.735
34609,222870.9844,3310993.735
34610,222950.9844,3310993.735
34611,223030.9844,3310993.735
34612,223110.9844,3310993.735
34613,223190.9844,3310993.735
34614,223270.9844,3310993.735
34615,223350.9844,3310993.735
34616,223430.9844,3310993.735
34617,223510.9844,3310993.735
34618,223590.9844,3310993.735
34619,219670.9844,3311073.735
34620,219750.9844,3311073.735
34621,219830.9844,3311073.735
34622,219910.9844,3311073.735
34623,219990.9844,3311073.735
34624,220070.9844,3311073.735
34625,220150.9844,3311073.735
34626,220230.9844,3311073.735
34627,220310.9844,3311073.735
34628,220390.9844,3311073.735
34629,220470.9844,3311073.735
34630,220550.9844,3311073.735
34631,220630.9844,3311073.735
34632,220710.9844,3311073.735
34633,220790.9844,3311073.735
34634,220870.9844,3311073.735
34635,220950.9844,3311073.735
34636,221030.9844,3311073.735
34637,221110.9844,3311073.735
34638,221190.9844,3311073.735
34639,221270.9844,3311073.735
34640,221350.9844,3311073.735
34641,221430.9844,3311073.735
34642,221510.9844,3311073.735
34643,221590.9844,3311073.735
34644,221670.9844,3311073.735
34645,221750.9844,3311073.735
34646,221830.9844,3311073.735
34647,221910.9844,3311073.735
34648,221990.9844,3311073.735
34649,222070.9844,3311073.735
34650,222150.9844,3311073.735
34651,222230.9844,3311073.735
34652,222310.9844,3311073.735
34653,222390.9844,3311073.735
34654,222470.9844,3311073.735
34655,222550.9844,3311073.735
34656,222630.9844,3311073.735
34657,222710.9844,3311073.735
34658,222790.9844,3311073.735
34659,222870.9844,3311073.735
34660,222950.9844,3311073.735
34661,223030.9844,3311073.735
34662,223110.9844,3311073.735
34663,223190.9844,3311073.735
34664,223270.9844,3311073.735
34665,223350.9844,3311073.735
34666,223430.9844,3311073.735
34667,223510.9844,3311073.735
34668,223590.9844,3311073.735
34669,223670.9844,3311073.735
34670,223750.9844,3311073.735
34671,223830.9844,3311073.735
34672,219670.9844,3311153.735
34673,219750.9844,3311153.735
34674,219830.9844,3311153.735
34675,219910.9844,3311153.735
34676,219990.9844,3311153.735
34677,220070.9844,3311153.735
34678,220150.9844,3311153.735
34679,220230.9844,3311153.735
34680,220310.9844,3311153.735
34681,220390.9844,3311153.735
34682,220470.9844,3311153.735
34683,220550.9844,3311153.735
34684,220630.9844,3311153.735
34685,220710.9844,3311153.735
34686,220790.9844,3311153.735
34687,220870.9844,3311153.735
34688,220950.9844,3311153.735
34689,221030.9844,3311153.735
34690,221110.9844,3311153.735
34691,221190.9844,3311153.735
34692,221270.9844,3311153.735
34693,221350.9844,3311153.735
34694,221430.9844,3311153.735
34695,221510.9844,3311153.735
34696,221590.9844,3311153.735
34697,221670.9844,3311153.735
34698,221750.9844,3311153.735
34699,221830.9844,3311153.735
34700,221910.9844,3311153.735
34701,221990.9844,3311153.735
34702,222070.9844,3311153.735
34703,222150.9844,3311153.735
34704,222230.9844,3311153.735
34705,222310.9844,3311153.735
34706,222390.9844,3311153.735
34707,222470.9844,3311153.735
34708,222550.9844,3311153.735
34709,222630.9844,3311153.735
34710,222710.9844,3311153.735
34711,222790.9844,3311153.735
34712,222870.9844,3311153.735
34713,222950.9844,3311153.735
34714,223030.9844,3311153.735
34715,223110.9844,3311153.735
34716,223190.9844,3311153.735
34717,223270.9844,3311153.735
34718,223350.9844,3311153.735
34719,223430.9844,3311153.735
34720,223510.9844,3311153.735
34721,223590.9844,3311153.735
34722,223670.9844,3311153.735
34723,223750.9844,3311153.735
34724,223830.9844,3311153.735
34725,223910.9844,3311153.735
34726,223990.9844,3311153.735
34727,224070.9844,3311153.735
34728,224150.9844,3311153.735
34729,219670.9844,3311233.735
34730,219750.9844,3311233.735
34731,219830.9844,3311233.735
34732,219910.9844,3311233.735
34733,219990.9844,3311233.735
34734,220070.9844,3311233.735
34735,220150.9844,3311233.735
34736,220230.9844,3311233.735
34737,220310.9844,3311233.735
34738,220390.9844,3311233.735
34739,220470.9844,3311233.735
34740,220550.9844,3311233.735
34741,220630.9844,3311233.735
34742,220710.9844,3311233.735
34743,220790.9844,3311233.735
34744,220870.9844,3311233.735
34745,220950.9844,3311233.735
34746,221030.9844,3311233.735
34747,221110.9844,3311233.735
34748,221190.9844,3311233.735
34749,221270.9844,3311233.735
34750,221350.9844,3311233.735
34751,221430.9844,3311233.735
34752,221510.9844,3311233.735
34753,221590.9844,3311233.735
34754,221670.9844,3311233.735
34755,221750.9844,3311233.735
34756,221830.9844,3311233.735
34757,221910.9844,3311233.735
34758,221990.9844,3311233.735
34759,222070.9844,3311233.735
34760,222150.9844,3311233.735
34761,222230.9844,3311233.735
34762,222310.9844,3311233.735
34763,222390.9844,3311233.735
34764,222470.9844,3311233.735
34765,222550.9844,3311233.735
34766,222630.9844,3311233.735
34767,222710.9844,3311233.735
34768,222790.9844,3311233.735
34769,222870.9844,3311233.735
34770,222950.9844,3311233.735
34771,223030.9844,3311233.735
34772,223110.9844,3311233.735
34773,223190.9844,3311233.735
34774,223270.9844,3311233.735
34775,223350.9844,3311233.735
34776,223430.9844,3311233.735
34777,223510.9844,3311233.735
34778,223590.9844,3311233.735
34779,223670.9844,3311233.735
34780,223750.9844,3311233.735
34781,223830.9844,3311233.735
34782,223910.9844,3311233.735
34783,223990.9844,3311233.735
34784,224070.9844,3311233.735
34785,224150.9844,3311233.735
34786,224230.9844,3311233.735
34787,224310.9844,3311233.735
34788,224390.9844,3311233.735
34789,219670.9844,3311313.735
34790,219750.9844,3311313.735
34791,219830.9844,3311313.735
34792,219910.9844,3311313.735
34793,219990.9844,3311313.735
34794,220070.9844,3311313.735
34795,220150.9844,3311313.735
34796,220230.9844,3311313.735
34797,220310.9844,3311313.735
34798,220390.9844,3311313.735
34799,220470.9844,3311313.735
34800,220550.9844,3311313.735
34801,220630.9844,3311313.735
34802,220710.9844,3311313.735
34803,220790.9844,3311313.735
34804,220870.9844,3311313.735
34805,220950.9844,3311313.735
34806,221030.9844,3311313.735
34807,221110.9844,3311313.735
34808,221190.9844,3311313.735
34809,221270.9844,3311313.735
34810,221350.9844,3311313.735
34811,221430.9844,3311313.735
34812,221510.9844,3311313.735
34813,221590.9844,3311313.735
34814,221670.9844,3311313.735
34815,221750.9844,3311313.735
34816,221830.9844,3311313.735
34817,221910.9844,3311313.735
34818,221990.9844,3311313.735
34819,222070.9844,3311313.735
34820,222150.9844,3311313.735
34821,222230.9844,3311313.735
34822,222310.9844,3311313.735
34823,222390.9844,3311313.735
34824,222470.9844,3311313.735
